[222, 17, 13, 656]
[223, 21, 13, 657]
None
None
[222, 21, 12, 656]
None
None
[223, 23, 13, 660]
[221, 20, 11, 655]
[222, 20, 12, 656]
[221, 23, 14, 656]
[223, 23, 14, 657]
[223, 23, 14, 657]
[221, 22, 14, 656]
[102, 15, 9, 649]
None
[0, 0, 0, 0]
[10, 18, 16, 643]
[12, 21, 19, 645]
[12, 19, 16, 644]
[12, 19, 17, 644]
[10, 19, 18, 644]
None
[0, 0, 0, 0]
[12, 21, 19, 645]
[10, 18, 18, 643]
[11, 20, 17, 644]
[13, 21, 18, 645]
[12, 20, 19, 645]
[12, 20, 17, 644]
[12, 20, 19, 645]
[10, 17, 17, 643]
[20, 76, 14, 647]
[19, 76, 15, 647]
[20, 77, 16, 648]
[20, 78, 15, 648]
[19, 79, 15, 648]
[20, 78, 16, 648]
[19, 78, 16, 648]
[21, 79, 16, 649]
[18, 76, 15, 647]
[19, 76, 15, 647]
[19, 78, 16, 648]
[20, 78, 16, 648]
[20, 78, 16, 648]
[21, 77, 15, 648]
[16, 75, 14, 646]
